date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:26	114475/114475	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:15%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=28_53	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/index7328.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:32	110710/110710	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:18%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=28_35	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/index43ee.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:33	110712/110712	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:19%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=28_36	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/indexf6ce.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:36	115691/115691	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:20%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=25_30	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/index68a7.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:42	114068/114068	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:27%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=30_46	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/indexedf3.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:49	114937/114937	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:33%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=30_45	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/indexfb9c.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:49	113358/113358	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:35%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=30_29	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/index0ee8.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:50	110715/110715	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:38%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=30_31	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/index293d.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:38:56	111552/111552	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:44%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=25_32	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/index955a.html	(from http://templatetasarim.com/opencart/Bicycle/)
12:39:04	110723/110723	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2011:38:50%20GMT	http://templatetasarim.com/opencart/Bicycle/index.php?route=product/category&path=32_40	C:/Users/root/Desktop/tmp/templatetasarim.com/opencart/Bicycle/indexcc10.html	(from http://templatetasarim.com/opencart/Bicycle/)
